Model,Test Score,Train Score,RMSE,Cross Validation Score,Search Type,time taken
Linear Regression,0.8289825620561659,0.794210664217794,0.0646018575393552,0.06362376572052442,grid,0.008975505828857422
Ridge,0.8288645416670197,0.7942023773911672,0.06462414480289125,0.0636094870017701,grid,0.08377671241760254
Lasso,0.828345178540671,0.7938785113504017,0.06472213142753774,0.06341198720034966,grid,0.08776617050170898
ElasticNet,0.8278645990268376,0.7938065936117877,0.06481266890900118,0.06338566188572212,grid,0.753680944442749
Linear Regression,0.8289825620561659,0.794210664217794,0.0646018575393552,0.06362376572052442,random,0.0009641647338867188
Ridge,0.8282388538377781,0.7940209616299889,0.06474217309033274,0.06358644375717185,random,1.3376870155334473
Lasso,0.8281507183150758,0.7938352865380388,0.06475878148400271,0.06339288027814739,random,1.3182504177093506
ElasticNet,0.8281785988364163,0.7938521288528153,0.06475352809624334,0.06338819550455457,random,1.2362525463104248
Linear Regression,0.8289825620561659,0.794210664217794,0.0646018575393552,0.06362376572052442,bayes,0.0010280609130859375
Ridge,0.8282293581130261,0.7940172478213725,0.06474396268411636,0.06358645644489243,bayes,95.64231729507446
Lasso,0.8280804613407778,0.7938179237174622,0.06477201776604774,0.0633962519220309,bayes,97.22996640205383
ElasticNet,0.8289728913201709,0.7942095421058503,0.06460368407437032,0.06361788952496764,bayes,112.3487241268158
